
42","42 Coin","42"
HUSH","Hush","HUSH"
BTLC","BitLuckCoin","BTLC"
DRM8","Dream8Coin","DRM8"
FIST","FistBump","FIST"
EBZ","Ebitz","EBZ"
DRS","Digital Rupees","DRS"
FGZ","Free Game Zone","FGZ"
BOSON","BosonCoin","BOSON"
ATX","ArtexCoin","ATX"
PNC","PlatiniumCoin","PNC"
BRDD","BeardDollars","BRDD"
TIME","Time","TIME"
BIP","BipCoin","BIP"
XNC","XenCoin","XNC"
EMB","EmberCoin","EMB"
BTTF","Coin to the Future","BTTF"
DLR","DollarOnline","DLR"
CSMIC","Cosmic","CSMIC"
FIRST","FirstCoin","FIRST"
SCASH","SpaceCash","SCASH"
XEN","XenixCoin","XEN"
JIO","JIO Token","JIO"
IW","iWallet","IW"
JNS","Janus","JNS"
TRICK","TrickyCoin","TRICK"
DCRE","DeltaCredits","DCRE"
FRE","FreeCoin","FRE"
NPC","NPCcoin","NPC"
PLNC","PLNCoin","PLNC"
DGMS","Digigems","DGMS"
ARCO","AquariusCoin","ARCO"
KURT","Kurrent","KURT"
XCRE","Creatio","XCRE"
ENT","Eternity","ENT"
UR","UR","UR"
MTLM3","Metal Music v3","MTLM3"
ODNT","Old Dogs New Tricks","ODNT"
EUC","Eurocoin","EUC"
CCX","CoolDarkCoin","CCX"
BCF","BitcoinFast","BCF"
SEEDS","SeedShares","SEEDS"
POSW","PoSWallet","POSW"
TKS","Tokes","TKS"
BCCOIN","BitConnect Coin","BCCOIN"
SHORTY","ShortyCoin","SHORTY"
PCM","Procom","PCM"
KC","Kernalcoin","KC"
CORAL","CoralPay","CORAL"
BAM","BAM","BAM"
NXC","Nexium","NXC"
MONEY","MoneyCoin","MONEY"
BSTAR","Blackstar","BSTAR"
HSP","Horse Power","HSP"
HZT","HazMatCoin","HZT"
CS","CryptoSpots","CS"
XSP","PoolStamp","XSP"
CCRB","CryptoCarbon","CCRB"
BULLS","BullshitCoin","BULLS"
INCNT","Incent","INCNT"
ICON","Iconic","ICON"
NIC","NewInvestCoin","NIC"
ACN","AvonCoin","ACN"
XNG","Enigma","XNG"
XCI","Cannabis Industry Coin","XCI"
LOOK","LookCoin","LOOK"
LOC","Loco","LOC"
MMXVI","MMXVI","MMXVI"
TRST","TrustCoin","TRST"
MIS","MIScoin","MIS"
WOP","WorldPay","WOP"
CQST","ConquestCoin","CQST"
IMPS","Impulse Coin","IMPS"
IN","InCoin","IN"
CHIEF","TheChiefCoin","CHIEF"
GOAT","Goat","GOAT"
ANAL","AnalCoin","ANAL"
RC","Russiacoin","RC"
PND","PandaCoin","PND"
PX","PXcoin","PX"
CND*","Canada eCoin","CND*"
OPTION","OptionCoin","OPTION"
AV","Avatar Coin","AV"
LTD","Limited Coin","LTD"
UNITS","GameUnits","UNITS"
HEEL","HeelCoin","HEEL"
GAKH","GAKHcoin","GAKH"
SHIFT","Shift","SHIFT"
S8C","S88 Coin","S8C"
LVG","Leverage Coin","LVG"
DRA","DraculaCoin","DRA"
ASAFE2","Allsafe","ASAFE2"
LTCR","LiteCreed","LTCR"
QBC","Quebecoin","QBC"
XPRO","ProCoin","XPRO"
AST*","Astral","AST*"
GIFT","GiftNet","GIFT"
VIDZ","PureVidz","VIDZ"
INC","Incrementum","INC"
PTA","PentaCoin","PTA"
ACID","AcidCoin","ACID"
ZLQ","ZLiteQubit","ZLQ"
RADI","RadicalCoin","RADI"
RNC","ReturnCoin","RNC"
GOLOS","Golos","GOLOS"
TWIST","TwisterCoin","TWIST"
PAYP","PayPeer","PAYP"
DETH","DarkEther","DETH"
YAY","YAYcoin","YAY"
YES","YesCoin","YES"
LENIN","LeninCoin","LENIN"
MRSA","MrsaCoin","MRSA"
OS76","OsmiumCoin","OS76"
BOSS","BitBoss","BOSS"
BIC","Bikercoins","BIC"
CRPS","CryptoPennies","CRPS"
MOTO","Motocoin","MOTO"
NTCC","NeptuneClassic","NTCC"
XNC*","Numismatic Collections","XNC*"
HXX","HexxCoin","HXX"
SPKTR","Ghost Coin","SPKTR"
MAC","MachineCoin","MAC"
SEL","SelenCoin","SEL"
NOO","Noocoin","NOO"
CHAO","23 Skidoo","CHAO"
YMC","YamahaCoin","YMC"
JOK","JokerCoin","JOK"
GBIT","GravityBit","GBIT"
TEC","TeCoin","TEC"
BOMB","BombCoin","BOMB"
RIDE","Ride My Car","RIDE"
PIVX","Private Instant Verified Transaction","PIVX"
KED","Klingon Empire Darsek","KED"
CNO","Coino","CNO"
WEALTH","WealthCoin","WEALTH"
IOP","Internet of People","IOP"
XSPEC","Spectre","XSPEC"
PEPECASH","Pepe Cash","PEPECASH"
CLICK","Clickcoin","CLICK"
ELS","Elysium","ELS"
KUSH","KushCoin","KUSH"
ERY","Eryllium","ERY"
PLU","Pluton","PLU"
PRES","President Trump","PRES"
BTZ","BitzCoin","BTZ"
OPES","Opes","OPES"
WCT","Waves Community Token","WCT"
UBQ","Ubiq","UBQ"
RATIO","Ratio","RATIO"
BAN","Babes and Nerds","BAN"
NICE","NiceCoin","NICE"
SMF","SmurfCoin","SMF"
CWXT","CryptoWorldXToken","CWXT"
TECH","TechCoin","TECH"
CIR","CircuitCoin","CIR"
LEPEN","LePenCoin","LEPEN"
ROUND","RoundCoin","ROUND"
MAR","MarijuanaCoin","MAR"
MARX","MarxCoin","MARX"
TAT","Tatiana Coin","TAT"
HAZE","HazeCoin","HAZE"
PRX","Printerium","PRX"
NRC","Neurocoin","NRC"
IMPCH","Impeach","IMPCH"
ERR","ErrorCoin","ERR"
TIC","TrueInvestmentCoin","TIC"
NUKE","NukeCoin","NUKE"
EOC","EveryonesCoin","EOC"
JANE","JaneCoin","JANE"
PARA","ParanoiaCoin","PARA"
MM","MasterMint","MM"
BXC","Bitcedi","BXC"
NDOGE","NinjaDoge","NDOGE"
MLN","Melon","MLN"
PAY","TenX","PAY"
ORO","OroCoin","ORO"
TBCX","TrashBurn","TBCX"
MCAR","MasterCar","MCAR"
THS","TechShares","THS"
ACES","AcesCoin","ACES"
UAEC","United Arab Emirates Coin","UAEC"
EA","EagleCoin","EA"
CREA","CreativeChain","CREA"
WISC","WisdomCoin","WISC"
BVC","BeaverCoin","BVC"
FIND","FindCoin","FIND"
MLITE","MeLite","MLITE"
STALIN","StalinCoin","STALIN"
TSE","TattooCoin","TSE"
VLTC","VaultCoin","VLTC"
BIOB","BioBar","BIOB"
PASL","Pascal Lite","PASL"
ZER","Zero","ZER"
CHAT","ChatCoin","CHAT"
CDN","Canada eCoin","CDN"
TPAY","TrollPlay","TPAY"
NETKO","Netko","NETKO"
ZOI","Zoin","ZOI"
HONEY","Honey","HONEY"
MXT","MartexCoin","MXT"
DTB","Databits","DTB"
VEG","BitVegan","VEG"
MBIT","Mbitbooks","MBIT"
VOLT","BitVolt","VOLT"
MGO","MobileGo","MGO"
EDG","Edgeless","EDG"
B","BankCoin","B"
CHC","ChainCoin","CHC"
ZENI","Zennies","ZENI"
PLANET","PlanetCoin","PLANET"
DUCK","DuckDuckCoin","DUCK"
BSTK","BattleStake","BSTK"
RNS","RenosCoin","RNS"
DBIX","DubaiCoin","DBIX"
AMIS","AMIS","AMIS"
KAYI","Kayı","KAYI"
XVP","VirtacoinPlus","XVP"
BOAT","Doubloon","BOAT"
TAJ","TajCoin","TAJ"
IMX","Impact","IMX"
CJC","CryptoJournal","CJC"
AMY","Amygws","AMY"
QBT","Cubits","QBT"
SRC*","StarCredits","SRC*"
EB3","EB3coin","EB3"
XVE","The Vegan Initiative","XVE"
FAZZ","FazzCoin","FAZZ"
APT","Aptcoin","APT"
BLAZR","BlazerCoin","BLAZR"
ARPA","ArpaCoin","ARPA"
BNB*","Boats and Bitches","BNB*"
UNI","Universe","UNI"
ECO","ECOcoin","ECO"
DARK","Dark","DARK"
DON","DonationCoin","DON"
MER","Mercury","MER"
WGO","WavesGO","WGO"
RLC","iEx.ec","RLC"
ATMS","Atmos","ATMS"
ETT","EncryptoTel","ETT"
WBTC","wBTC","WBTC"
VISIO","Visio","VISIO"
HPC","HappyCoin","HPC"
GOT","Giotto Coin","GOT"
CXT","Coinonat","CXT"
EMPC","EmporiumCoin","EMPC"
GNO","Gnosis","GNO"
LGD","Legends Cryptocurrency","LGD"
TAAS","Token as a Service","TAAS"
BUCKS","SwagBucks","BUCKS"
GUP","Guppy","GUP"
MCRN","MacronCoin","MCRN"
LUN","Lunyr","LUN"
RAIN","Condensate","RAIN"
WSX","WeAreSatoshi","WSX"
IEC","IvugeoEvolutionCoin","IEC"
IMS","Independent Money System","IMS"
CNT","Centurion","CNT"
LMC","LomoCoin","LMC"
TKN","TokenCard  ","TKN"
PROC","ProCurrency","PROC"
XGR","GoldReserve","XGR"
WRC*","WarCoin","WRC*"
BENJI","BenjiRolls","BENJI"
HMQ","Humaniq","HMQ"
GRW","GrowthCoin","GRW"
APX","Apx","APX"
MILO","MiloCoin","MILO"
OLV","OldV","OLV"
ILC","ILCoin","ILC"
MRT","MinersReward","MRT"
IOU","IOU1","IOU"
PZM","Prizm","PZM"
PHR","Phreak","PHR"
ANT","Aragon","ANT"
PUPA","PupaCoin","PUPA"
RICE","RiceCoin","RICE"
XCT","C-Bits","XCT"
DEA","Degas Coin","DEA"
CTIC","Coinmatic","CTIC"
TAP","TappingCoin","TAP"
BITOK","BitOKX","BITOK"
PBT","Primalbase","PBT"
MUU","MilkCoin","MUU"
INF8","Infinium-8","INF8"
HTML5","HTML Coin","HTML5"
MNE","Minereum","MNE"
DICE","Etheroll","DICE"
SUB*","Subscriptio","SUB*"
USC","Ultimate Secure Cash","USC"
DUX","DuxCoin","DUX"
XPS","PoisonIvyCoin","XPS"
EQT","EquiTrader","EQT"
INSN","Insane Coin","INSN"
BAT","Basic Attention Token","BAT"
MAT*","Manet Coin","MAT*"
F16","F16Coin","F16"
HAMS","HamsterCoin","HAMS"
NEF","NefariousCoin","NEF"
ZEN","ZenCash","ZEN"
BOS","BOScoin","BOS"
QWARK","Qwark","QWARK"
IOT","IOTA","IOT"
QRL","Quantum Resistant Ledger","QRL"
ADL","Adelphoi","ADL"
ECC","E-CurrencyCoin","ECC"
PTOY","Patientory","PTOY"
ZRC","ZrCoin","ZRC"
LKK","Lykke","LKK"
ESP","Espers","ESP"
MAD","SatoshiMadness","MAD"
DYN","Dynamic","DYN"
SEQ","Sequence","SEQ"
MCAP","MCAP","MCAP"
MYST","Mysterium","MYST"
VERI","Veritaseum","VERI"
SNM","SONM","SNM"
SKY","Skycoin","SKY"
CFI","Cofound.it","CFI"
SNT","Status Network Token","SNT"
AVT","AventCoin","AVT"
CVC","Civic","CVC"
IXT","iXledger","IXT"
ETHOS","Ethos","ETHOS"
STA","Starta","STA"
XTZ","Tezos","XTZ"
NMR","Numerai","NMR"
ADX","AdEx","ADX"
QAU","Quantum","QAU"
ECOB","EcoBit","ECOB"
PLBT","Polybius","PLBT"
USDT","Tether","USDT"
XRB","RaiBlocks","XRB"
AHT","Ahoolee","AHT"
ATB","ATB coin","ATB"
TIX","Blocktix","TIX"
4CHN","ChanCoin","4CHN"
CMP","Compcoin","CMP"
RVT","Rivetz","RVT"
8BT","8 Circuit Studios","8BT"
CDT","CoinDash","CDT"
ACT","ACT","ACT"
DNT","district0x","DNT"
MIV","MakeItViral","MIV"
BET*","DAO.casino","BET*"
WGR","Wagerr","WGR"
XEL","Elastic","XEL"
NVST","NVO","NVST"
FUN","FunFair","FUN"
FUNC","FunCoin","FUNC"
PQT","PAquarium","PQT"
WTT","Giga Watt","WTT"
MTL","Metal","MTL"
HVN","Hive","HVN"
MYB","MyBit","MYB"
PPT","Populous","PPT"
SNC","SunContract","SNC"
COR","Corion","COR"
XRL","Rialto.AI","XRL"
OROC","Orocrypt","OROC"
OAX","OpenANX","OAX"
MBI","Monster Byte Inc","MBI"
DIM","DIMCOIN","DIM"
GGS","Gilgam","GGS"
DNA","Encrypgen","DNA"
FND","FundRequest","FND"
DCY","Dinastycoin","DCY"
DNR","Denarius","DNR"
DP","DigitalPrice","DP"
VUC","Virta Unique Coin","VUC"
BTPL","Bitcoin Planet","BTPL"
UNIFY","Unify","UNIFY"
IPC","ImperialCoin","IPC"
BRIT","BritCoin","BRIT"
AMMO","Ammo Rewards","AMMO"
SOCC","SocialCoin","SOCC"
MASS","Mass.Cloud","MASS"
LA","LAToken","LA"
IML","IMMLA","IML"
XUC","Exchange Union","XUC"
STU","BitJob","STU"
PLR","Pillar","PLR"
GUNS","GeoFunders","GUNS"
IFT","InvestFeed","IFT"
PRO","Propy","PRO"
SYC","SynchroCoin","SYC"
IND","Indorse","IND"
TRIBE","TribeToken","TRIBE"
ZRX","0x","ZRX"
TNT","Tierion","TNT"
PRE*","Presearch","PRE*"
COSS","COSS","COSS"
STORJ","Storj","STORJ"
OMG","OmiseGo","OMG"
OTX","Octanox","OTX"
EQB","Equibit","EQB"
VOISE","Voise","VOISE"
CVCOIN","Crypviser","CVCOIN"
DRP","DCORP","DRP"
ARC","ArcticCoin","ARC"
BOG","Bogcoin","BOG"
NDC","NeverDie","NDC"
POE","Po.et","POE"
ADT","AdToken","ADT"
AE","Aeternity","AE"
UET","Useless Ethereum Token","UET"
AGRS","Agoras Token","AGRS"
SAND","BeachCoin","SAND"
XAI*","AICoin","XAI*"
DMT","DMarket","DMT"
DAS","DAS","DAS"
XCJ","CoinJob","XCJ"
RKC","Royal Kingdom Coin","RKC"
NLC2","NoLimitCoin","NLC2"
LINDA","Linda","LINDA"
SPN","Spoon","SPN"
ANCP","Anacrypt","ANCP"
RCC","Reality Clash","RCC"
ROOTS","RootProject","ROOTS"
SNK","Sosnovkino","SNK"
CABS","CryptoABS","CABS"
OPT","Opus","OPT"
ZNT","OpenZen","ZNT"
BITSD","Bits Digit","BITSD"
XLC","LeviarCoin","XLC"
SKIN","Skincoin","SKIN"
MSP","Mothership","MSP"
HIRE","HireMatch","HIRE"
BBT*","BrickBlock","BBT*"
DFBT","DentalFix","DFBT"
EQ","EQUI","EQ"
VIB","Viberate","VIB"
ONION","DeepOnion","ONION"
BTX","Bitcore","BTX"
ICE","iDice","ICE"
XID","Sphre AIR","XID"
GCN","GCoin","GCN"
ATOM*","Cosmos","ATOM*"
MANA","Decentraland","MANA"
ICOO","ICO OpenLedger","ICOO"
TME","Timereum","TME"
SMART","SmartCash","SMART"
SIGT","Signatum","SIGT"
ONX","Onix","ONX"
COE","CoEval","COE"
ARENA","Arena","ARENA"
WINK","Wink","WINK"
CRM","Cream","CRM"
BCH","Bitcoin Cash / BCC","BCH"
DGPT","DigiPulse","DGPT"
MOBI","Mobius","MOBI"
CSNO","BitDice","CSNO"
KICK","KickCoin","KICK"
SDAO","Solar DAO","SDAO"
STX","Stox","STX"
BNB","Binance Coin","BNB"
CORE","Core Group Asset","CORE"
KCN","Kencoin","KCN"
AUT","Autoria","AUT"
CTT","CodeTract","CTT"
MNY","Monkey","MNY"
MTH","Monetha","MTH"
CCC","CCCoin","CCC"
UMC","Umbrella Coin","UMC"
BMXT","Bitmxittz","BMXT"
GAS","Gas","GAS"
FIL","FileCoin","FIL"
OCL","Oceanlab","OCL"
BNC","Benjacoin","BNC"
TOM","Tomahawkcoin","TOM"
BTM*","Bytom","BTM*"
XAS","Asch","XAS"
SMNX","SMNX","SMNX"
DCN","Dentacoin","DCN"
DLT","Agrello Delta","DLT"
MRV","Macroverse","MRV"
MBRS","Embers","MBRS"
SUB","Substratum Network","SUB"
MET","Memessenger","MET"
PGL","Prospectors","PGL"
XMCC","MonacoCoin","XMCC"
CASH*","Cash Poker Pro","CASH*"
DTCT","DetectorToken","DTCT"
CTR","Centra","CTR"
WNET","Wavesnode.net","WNET"
PRG","Paragon","PRG"
THNX","ThankYou","THNX"
WORM","HealthyWorm","WORM"
FUCK","Fuck Token","FUCK"
VNT","Veredictum","VNT"
IGNIS","Ignis","IGNIS"
IWT","IwToken","IWT"
JDC","JustDatingSite","JDC"
EVX","Everex","EVX"
ICOS","ICOBox","ICOS"
PIX","Lampix","PIX"
LTA","Litra","LTA"
NIMFA","Nimfamoney","NIMFA"
SCOR","Scorista","SCOR"
MLS","CPROP","MLS"
KEX","KexCoin","KEX"
BRO","Bitradio","BRO"
ATL","ATLANT","ATL"
ARI*","BeckSang","ARI*"
MAG*","Magos","MAG*"
DFT","Draftcoin","DFT"
VEN","Vechain","VEN"
LAT","Latium","LAT"
SOJ","Sojourn Coin","SOJ"
STCN","Stakecoin","STCN"
SQP","SqPay","SQP"
RIYA","Etheriya","RIYA"
AMB","Ambrosus","AMB"
WAN","Wanchain","WAN"
MNT","GoldMint","MNT"
ALTOCAR","AltoCar","ALTOCAR"
CFT*","Credo","CFT*"
BLX","Blockchain Index","BLX"
BOU","Boulle","BOU"
OXY","Oxycoin","OXY"
TTT","Tap Project","TTT"
AMT","Acumen","AMT"
NYC","NewYorkCoin","NYC"
FRAZ","FrazCoin","FRAZ"
GXC","Gx Coin","GXC"
KRONE","Kronecoin","KRONE"
SRT","Scrypto","SRT"
AVA","Avalon","AVA"
BT","BuildTeam","BT"
AR*","Ar.cash","AR*"
Z2","Z2 Coin","Z2"
LINX","Linx","LINX"
XCXT","CoinonatX","XCXT"
BLAS","BlakeStar","BLAS"
GOOD","GoodCoin","GOOD"
SCL","Social Nexus","SCL"
TRV","Travel Coin","TRV"
CRTM","Cryptum","CRTM"
EON","Exscudo","EON"
PST","Primas","PST"
MTX","Matryx","MTX"
PRIX","Privatix","PRIX"
CTX","CarTaxi","CTX"
ENJ","Enjin Coin","ENJ"
CNX","Cryptonex","CNX"
DRC","Dropcoin","DRC"
FUEL","Etherparty","FUEL"
ACE","TokenStars","ACE"
WTC","Waltonchain","WTC"
BRX","Breakout Stake","BRX"
WRT","WRTcoin","WRT"
ORME","Ormeus Coin","ORME"
DEEP","Deep Gold","DEEP"
TMT","ToTheMoon","TMT"
CCT","Crystal Clear Token ","CCT"
ARNA","ARNA Panacea","ARNA"
PRP","Papyrus","PRP"
BMC","Blackmoon Crypto","BMC"
SKR*","Skrilla Token","SKR*"
3DES","3DES","3DES"
PYN","Paycentos","PYN"
KAPU","Kapu","KAPU"
SENSE","Sense Token","SENSE"
FC","Facecoin","FC"
RCN","Ripio","RCN"
NRN","Doc.ai Neuron","NRN"
LINK","ChainLink","LINK"
EDO","Eidoo","EDO"
ATKN","A-Token","ATKN"
KNC","Kyber Network","KNC"
RUSTBITS","Rustbits","RUSTBITS"
REX","REX","REX"
ETHD","Ethereum Dark","ETHD"
SUMO","Sumokoin","SUMO"
8S","Elite 888","8S"
RHEA","Rhea","RHEA"
ART","Maecenas","ART"
DRT","DomRaider","DRT"
MTN","TrackNetToken","MTN"
STOCKBET","StockBet","STOCKBET"
PLM","Algo.Land","PLM"
FDC","FoodCoin","FDC"
SALT","Salt Lending","SALT"
XP","XP","XP"
LRC","Loopring","LRC"
HSR","Hshare","HSR"
ZNA","Zenome","ZNA"
EZM","EZMarket","EZM"
ODN","Obsidian","ODN"
POLL","ClearPoll","POLL"
MTK","Moya Token","MTK"
CAS","Cashaa","CAS"
GJC","Global Jobcoin","GJC"
WIC","Wi Coin","WIC"
WAND","WandX","WAND"
ELIX","Elixir","ELIX"
ADA","Cardano","ADA"
YOYOW","Yoyow","YOYOW"
REC","Regalcoin","REC"
OPP","Opporty","OPP"
ROCK","Ice Rock Mining","ROCK"
ICX","ICON Project","ICX"
FLASH","FLASH coin","FLASH"
GRF","Graft Network","GRF"
BTCZ","BitcoinZ","BTCZ"
PPP","PayPie","PPP"
GUESS","Peerguess","GUESS"
ETP","Metaverse","ETP"
CIX","Cryptonetix","CIX"
ERT","Esports.com","ERT"
BAC*","LakeBanker","BAC*"
FLIK","FLiK","FLIK"
TRIP","Trippki","TRIP"
MBT","Multibot","MBT"
JVY","Javvy","JVY"
ALIS","ALISmedia","ALIS"
ARBI","Arbi","ARBI"
ELT","Eloplay","ELT"
REQ","Request Network","REQ"
ARN","Aeron","ARN"
VIBE","VIBEHub","VIBE"
ROK","Rockchain","ROK"
XRED","X Real Estate Development","XRED"
DAY","Chronologic","DAY"
AST","AirSwap","AST"
HXT","HextraCoin","HXT"
CND","Cindicator","CND"
VRP","Prosense.tv","VRP"
NTM","NetM","NTM"
TZC","TrezarCoin","TZC"
ENG","Enigma","ENG"
MCI","Musiconomi","MCI"
AIR","AirToken","AIR"
NTO","Fujinto","NTO"
ATCC","ATC Coin","ATCC"
KOLION","Kolion","KOLION"
WILD","Wild Crypto","WILD"
ELTC2","eLTC","ELTC2"
POWR","Power Ledger","POWR"
C20","Crypto20","C20"
RYZ","Anryze","RYZ"
GXC*","GenXCoin","GXC*"
ELM","Elements","ELM"
TER","TerraNovaCoin","TER"
XCS","CybCSec Coin","XCS"
BQ","Bitqy","BQ"
EVR","Everus","EVR"
TOA","TOA Coin","TOA"
VIVO","VIVO Coin","VIVO"
RPX","Red Pulse","RPX"
MDA","Moeda","MDA"
ZSC","Zeusshield","ZSC"
AURS","Aureus","AURS"
CAG","Change","CAG"
PKT","Playkey","PKT"
ECHT","e-Chat","ECHT"
INXT","Internxt","INXT"
ATS","Authorship","ATS"
RGC","RG Coin","RGC"
EBET","EthBet","EBET"
R","Revain","R"
MOD","Modum","MOD"
BM*","Bitcomo","BM*"
CPAY","CryptoPay","CPAY"
RUP","Rupee","RUP"
WHL","WhaleCoin","WHL"
BTG","Bitcoin Gold","BTG"
UP","UpToken","UP"
ETG","Ethereum Gold","ETG"
WOMEN","WomenCoin","WOMEN"
MAY","Theresa May Coin","MAY"
RNDR","Render Token","RNDR"
EDDIE","Eddie coin","EDDIE"
SCT*","Soma","SCT*"
KCS","Kucoin","KCS"
BLUE","Ethereum Blue","BLUE"
FLLW","Follow Coin","FLLW"
WYR","Wyrify","WYR"
VZT","Vezt","VZT"
INDI","IndiCoin","INDI"
LUX","LUXCoin","LUX"
PIRL","Pirl","PIRL"
ECASH","Ethereum Cash","ECASH"
DRGN","Dragonchain","DRGN"
BRAT","Brat","BRAT"
DTR","Dynamic Trading Rights","DTR"
TKR","CryptoInsight","TKR"
ELITE","EthereumLite","ELITE"
XIOS","Xios","XIOS"
DOVU","DOVU","DOVU"
XNN","Xenon","XNN"
BTDX","Bitcloud 2.0","BTDX"
ZAB","ZABERcoin","ZAB"
BT1","Bitfinex Bitcoin Future","BT1"
BT2","Bitcoin SegWit2X","BT2"
JCR","Jincor","JCR"
XSB","Extreme Sportsbook","XSB"
EBST","eBoost","EBST"
KEK","KekCoin","KEK"
BHC*","BlackholeCoin","BHC*"
ALTCOM","AltCommunity Coin","ALTCOM"
DATA","Streamr DATAcoin","DATA"
UGT","ugChain","UGT"
DTC*","Datacoin","DTC*"
PLAY","HEROcoin","PLAY"
PURE","Pure","PURE"
CLD","Cloud","CLD"
OTN","Open Trading Network","OTN"
POS","PoSToken","POS"
EXN","ExchangeN","EXN"
TRCT","Tracto","TRCT"
UKG","UnikoinGold","UKG"
BTCRED","Bitcoin Red","BTCRED"
EBCH","eBitcoinCash","EBCH"
JPC*","J Coin","JPC*"
RDN*","Raiden Network","RDN*"
BDR","BlueDragon","BDR"
DUTCH","Dutch Coin","DUTCH"
HNC*","Huncoin","HNC*"
MDC*","MadCoin","MDC*"
PURA","Pura","PURA"
INN","Innova","INN"
HST","Decision Token","HST"
BCPT","BlockMason Credit Protocol","BCPT"
BDL","Bitdeal","BDL"
CMS","COMSA","CMS"
XBL","Billionaire Token","XBL"
ZEPH","Project Zephyr","ZEPH"
NULS","Nuls","NULS"
PHR*","Phore","PHR*"
LCASH","LitecoinCash","LCASH"
CFD","Confido","CFD"
WSC","WiserCoin","WSC"
DBET","Decent.bet","DBET"
xGOx","Go!","xGOx"
NEWB","Newbium","NEWB"
CREDO","Credo","CREDO"
MSR","Masari","MSR"
ESC","Ethersportcoin","ESC"
BNK","Bankera","BNK"
ELLA","Ellaism","ELLA"
BPL","BlockPool","BPL"
DRXNE","Droxne","DRXNE"
SKR","Sakuracoin","SKR"
GRID","Grid+","GRID"
XPTX","PlatinumBAR","XPTX"
GVT","Genesis Vision","GVT"
ASTRO","Astronaut","ASTRO"
GMT","Mercury Protocol","GMT"
EPY*","Emphy","EPY*"
SOAR","Soarcoin","SOAR"
HOLD","Interstellar Holdings","HOLD"
MNX","MinexCoin","MNX"
CRDS","Credits","CRDS"
VIU","Viuly","VIU"
ABT","Advanced Browsing Token","ABT"
QSP","Quantstamp","QSP"
BBT","BitBoost","BBT"
GBX","GoByte","GBX"
CSTL","Castle","CSTL"
QASH","Quoine Liquid","QASH"
KNC**","KingN Coin","KNC**"
TRIA","Triaconta","TRIA"
PBL","Publica","PBL"
MAG","Magnet","MAG"
STEX","STEX","STEX"
UFR","Upfiring","UFR"
FLIXX","Flixxo","FLIXX"
PFR","PayFair","PFR"
ECA","Electra","ECA"
LDM","Ludum token","LDM"
LTG","LiteCoin Gold","LTG"
BCD","Bitcoin Diamond","BCD"
STP","StashPay","STP"
SPANK","SpankChain","SPANK"
AERM","Aerium","AERM"
PLX","PlexCoin","PLX"
NIO","Autonio","NIO"
ETHB","EtherBTC","ETHB"
CDX*","Commodity Ad Network","CDX*"
FOOD","FoodCoin","FOOD"
VOT","Votecoin","VOT"
UQC","Uquid Coin","UQC"
LEND","EthLend","LEND"
TIO*","Tio Tour Guides","TIO*"
XSH","SHIELD","XSH"
ONG","onG.social","ONG"
PRL","Oyster Pearl","PRL"
BTCM","BTCMoon","BTCM"
ETBT","Ethereum Black","ETBT"
ZCG","ZCashGOLD","ZCG"
MUT","Mutual Coin","MUT"
MEOW","Kittehcoin","MEOW"
DIVX","Divi","DIVX"
HBN","HoboNickels","HBN"
GAP","Gapcoin","GAP"
ABC","AB-Chain","ABC"
ETH","Ethereum","ETH"
RFL","RAFL","RFL"
ARC*"," Arcade City","ARC*"
BON*","BonesCoin","BON*"
BON","Bonpay","BON"
GRX","Gold Reward Token","GRX"
ZBC","Zilbercoin","ZBC"
ERO","Eroscoin","ERO"
BCD*","BitCAD","BCD*"
CMT*","CyberMiles","CMT*"
FRD","Farad","FRD"
ELTCOIN","ELTCOIN","ELTCOIN"
BCO","BridgeCoin","BCO"
LEV","Leverj","LEV"
MAN","People","MAN"
CWV","CryptoWave","CWV"
FRN","Francs","FRN"
MST","MustangCoin","MST"
SFC","Solarflarecoin","SFC"
NAMO","NamoCoin","NAMO"
TGC","TigerCoin","TGC"
DDF","Digital Developers Fund","DDF"
MOIN","MoinCoin","MOIN"
BEST","BestChain","BEST"
AHT*","Bowhead Health","AHT*"
WARP","WarpCoin","WARP"
ARGUS","ArgusCoin","ARGUS"
NKA","IncaKoin","NKA"
C2","Coin.2","C2"
IXC","IXcoin","IXC"
WSH","Wish Finance","WSH"
SHP","Sharpe Capital","SHP"
ACC","AdCoin","ACC"
DUO","ParallelCoin","DUO"
CC","CyberCoin","CC"
HALLO","Halloween Coin","HALLO"
MINEX","Minex","MINEX"
SEND","Social Send","SEND"
KING","King93","KING"
EFYT","Ergo","EFYT"
ETBS","EthBits","ETBS"
GLT","GlobalToken","GLT"
IFLT","InflationCoin","IFLT"
BOST","BoostCoin","BOST"
RBX","RiptoBuX","RBX"
COAL","BitCoal","COAL"
DAXX","DaxxCoin","DAXX"
XDE2","XDE II","XDE2"
BNX","BnrtxCoin","BNX"
FRWC","Frankywillcoin","FRWC"
RUPX","Rupaya","RUPX"
ICOB","Icobid","ICOB"
NRO","Neuro","NRO"
SUR","Suretly","SUR"
RLX","Relex","RLX"
SANDG","Save and Gain","SANDG"
INPAY","InPay","INPAY"
RHOC","RChain","RHOC"
ACT*","Achain","ACT*"
AION","Aion","AION"
BTCE","EthereumBitcoin","BTCE"
LAB","Labrys","LAB"
MDL","Modulum","MDL"
FYP","FlypMe","FYP"
AC","Asia Coin","AC"
BWK","Bulwark","BWK"
